iter	Passed	Remaining
0	2980	742173
1	5489	680657
2	8027	660970
3	10534	647841
4	13042	639105
5	15566	633023
6	18193	631573
7	20729	627071
8	23216	621681
9	25726	617426
10	28233	613438
11	30723	609352
12	33244	606066
13	35805	603582
14	38349	600806
15	40986	599426
16	43486	596016
17	45940	592123
18	48425	588748
19	51042	586990
20	53573	584205
21	56090	581299
22	58526	577628
23	60987	574300
24	63457	571113
25	66019	568781
26	68511	565850
27	70970	562694
28	73422	559531
29	75892	556545
30	78364	553606
31	80868	550915
32	83462	548830
33	85957	546083
34	88439	543273
35	90938	540579
36	93417	537779
37	95941	535249
38	98620	533562
39	98637	517849
40	101219	515972
41	103724	513681
42	106160	511050
43	108620	508542
44	111068	505978
45	113556	503598
46	116060	501280
47	118581	499031
48	121068	496627
49	122612	490448
50	125307	488943
51	127890	486966
52	130565	485311
53	131964	478983
54	134406	476531
55	135814	470499
56	137191	464526
57	139646	462276
58	140891	456107
59	143367	453996
60	144720	448396
61	146207	443338
62	148778	441611
63	150205	436534
64	151442	431028
65	153894	429037
66	155272	424102
67	156650	419270
68	157884	414161
69	159209	409395
70	160589	404865
71	161889	400226
72	163152	395587
73	164404	391016
74	165795	386856
75	167043	382441
76	168264	378048
77	169481	373728
78	170722	369539
79	171951	365396
80	173212	361394
81	174435	357379
82	175676	353469
83	176966	349720
84	178295	346103
85	179558	342413
86	180948	339017
87	182331	335655
88	183779	332455
89	185185	329219
90	186466	325804
91	187712	322376
92	188959	318996
93	190226	315694
94	191464	312388
95	192710	309139
96	194045	306071
97	195443	303136
98	196810	300186
99	198042	297063
100	199279	293987
101	200536	290974
102	201839	288061
103	203093	285111
104	204322	282160
105	205555	279245
106	206793	276368
107	208053	273551
108	209318	270770
109	210681	268140
110	211955	265421
111	213219	262717
112	214484	260038
113	215814	257462
114	217144	254908
115	218489	252392
116	219861	249928
117	221180	247421
118	222447	244879
119	223730	242375
120	225034	239913
121	226349	237481
122	227656	235059
123	228920	232612
124	230194	230194
125	231485	227811
126	232790	225458
127	234128	223154
128	235483	220879
129	236822	218605
130	238162	216346
131	239536	214131
132	240833	211861
133	242186	209654
134	243503	207428
135	244799	205199
136	246144	203024
137	247474	200849
138	248773	198661
139	250041	196460
140	251288	194258
141	252558	192086
142	253813	189916
143	255035	187734
144	256263	185570
145	257533	183448
146	258840	181364
147	260063	179232
148	261314	177132
149	262541	175027
150	263759	172928
151	265135	170942
152	266525	168973
153	267775	166924
154	268993	164866
155	270221	162825
156	271473	160809
157	272685	158778
158	273993	156813
159	275275	154842
160	276525	152861
161	277773	150889
162	279067	148950
163	280390	147034
164	281650	145092
165	282896	143152
166	284121	141210
167	285350	139278
168	286589	137359
169	287804	135437
170	289056	133540
171	290361	131675
172	291637	129804
173	292894	127930
174	294111	126047
175	295336	124175
176	296556	122308
177	297804	120460
178	299032	118610
179	300275	116773
180	301531	114948
181	302757	113118
182	303966	111288
183	305208	109476
184	306524	107697
185	307755	105894
186	308994	104099
187	310201	102300
188	311435	100516
189	312668	98737
190	313916	96968
191	315328	95255
192	316561	93492
193	317880	91759
194	319126	90009
195	320355	88261
196	321617	86526
197	322937	84811
198	324182	83081
199	325418	81354
200	326644	79629
201	327883	77912
202	329102	76196
203	330314	74482
204	331547	72778
205	332843	71092
206	334100	69402
207	335329	67710
208	336548	66021
209	337865	64355
210	339229	62701
211	340575	61046
212	341812	59375
213	343028	57705
214	344249	56040
215	345480	54381
216	346716	52726
217	347933	51072
218	349160	49424
219	350510	47796
220	351779	46161
221	353015	44524
222	354330	42901
223	355558	41270
224	356811	39645
225	358038	38021
226	359255	36400
227	360474	34782
228	361722	33171
229	362965	31562
230	364192	29955
231	365453	28354
232	366674	26753
233	367888	25154
234	369138	23562
235	370453	21976
236	371713	20389
237	372936	18803
238	374161	17220
239	375392	15641
240	376626	14064
241	377876	12491
242	379129	10921
243	380414	9354
244	381703	7789
245	383009	6227
246	384255	4667
247	385580	3109
248	386857	1553
249	388080	0
